tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,jef_migr,edad
Salida,Ecuatorianos,2022,10,2,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,26
Salida,Ecuatorianos,2022,11,10,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,62
Salida,Ecuatorianos,2022,11,26,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,39
Entrada,Ecuatorianos,2022,8,27,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,66
Salida,Ecuatorianos,2022,11,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,29
Entrada,Ecuatorianos,2022,7,11,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,68
Salida,Ecuatorianos,2022,5,18,Mujer,ECUADOR,Vía Aérea,Eventos,América,América,Asia,QATAR QATAR,ECUADOR,12,22
Entrada,Ecuatorianos,2022,8,28,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,1,31
Salida,Ecuatorianos,2022,10,14,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,26
Salida,Ecuatorianos,2022,10,1,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,35
Salida,Ecuatorianos,2022,5,1,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,1,46
Salida,Ecuatorianos,2022,6,23,Mujer,ECUADOR,Vía Aérea,Eventos,América,América,América,COLOMBIA,ECUADOR,1,29
