tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,jef_migr,edad
Salida,Ecuatorianos,2022,11,4,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,61
Salida,Ecuatorianos,2022,5,16,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,18,51
Salida,Ecuatorianos,2022,8,11,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,26
Salida,Ecuatorianos,2022,10,21,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,6
Salida,Ecuatorianos,2022,9,28,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,35
Salida,Ecuatorianos,2022,5,12,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,49
Salida,Ecuatorianos,2022,11,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,16
Salida,Ecuatorianos,2022,10,21,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,URUGUAY URUGUAY,ECUADOR,1,28
Salida,Ecuatorianos,2022,9,3,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,41
Salida,Ecuatorianos,2022,7,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,12,57
Salida,Ecuatorianos,2022,11,26,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,62
Salida,Ecuatorianos,2022,9,15,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,65
Entrada,Ecuatorianos,2022,12,3,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,35
Salida,Ecuatorianos,2022,5,18,Hombre,ECUADOR,Vía Marítima,Otros,América,América,América,PERU PERU,ECUADOR,4,32
Entrada,Ecuatorianos,2022,5,27,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,12,46
Salida,Ecuatorianos,2022,5,5,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PUERTO RICO PUERTO RICO,ECUADOR,12,33
Salida,Ecuatorianos,2022,8,23,Mujer,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ITALIA ITALY,ITALIA ITALY,1,33
Salida,Ecuatorianos,2022,4,28,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,18
Salida,Ecuatorianos,2022,2,14,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,COLOMBIA,1,24
Salida,Ecuatorianos,2022,11,15,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,12,38
Salida,Ecuatorianos,2022,7,12,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,32
Salida,Ecuatorianos,2022,9,18,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,74
Salida,Ecuatorianos,2022,10,8,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,26
Salida,Ecuatorianos,2022,2,7,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,45
Entrada,Ecuatorianos,2022,7,7,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,39
Salida,Ecuatorianos,2022,8,7,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,40
Entrada,Ecuatorianos,2022,3,3,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,52
Salida,Ecuatorianos,2022,10,17,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,17
Salida,Ecuatorianos,2022,9,9,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,1,15
Salida,Ecuatorianos,2022,10,20,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,38
Salida,Ecuatorianos,2022,6,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,26
Entrada,Ecuatorianos,2022,6,13,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,1,60
Entrada,Ecuatorianos,2022,4,6,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,33
Salida,Ecuatorianos,2022,11,24,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,7
Salida,Ecuatorianos,2022,12,16,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,38
Salida,Ecuatorianos,2022,7,18,Hombre,ECUADOR,Vía Aérea,Eventos,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,44
Salida,Ecuatorianos,2022,10,23,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,20
Entrada,Ecuatorianos,2022,3,7,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,36
Salida,Ecuatorianos,2022,2,26,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,35
Salida,Ecuatorianos,2022,8,25,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,50
Salida,Ecuatorianos,2022,4,23,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ESTADOS UNIDOS USA,9,68
Entrada,Ecuatorianos,2022,8,11,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,5
Entrada,Ecuatorianos,2022,9,15,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,62
Salida,Ecuatorianos,2022,11,29,Hombre,ECUADOR,Vía Terrestre,Otros,América,América,América,COLOMBIA,ECUADOR,11,58
Salida,Ecuatorianos,2022,12,14,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,74
Entrada,Ecuatorianos,2022,6,22,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,1,28
Entrada,Ecuatorianos,2022,3,7,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,57
Salida,Ecuatorianos,2022,8,14,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,8
Entrada,Ecuatorianos,2022,2,4,Mujer,ECUADOR,Vía Aérea,Residencia,Europa,América,América,COLOMBIA,"REINO UNIDO (de GRAN BRETAÑA: ESCOCIA; GALES, INGLATERRA E IRLANDA DEL NORTE) UK",1,27
Entrada,Ecuatorianos,2022,10,12,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,PERU PERU,ECUADOR,1,15
Salida,Ecuatorianos,2022,12,9,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,13
Salida,Ecuatorianos,2022,5,7,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,66
Entrada,Ecuatorianos,2022,9,1,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,30
Salida,Ecuatorianos,2022,5,14,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,36
Salida,Ecuatorianos,2022,4,16,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,12,6
Salida,Ecuatorianos,2022,7,29,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,12,6
Salida,Ecuatorianos,2022,12,15,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,61
Entrada,Ecuatorianos,2022,10,27,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,45
Salida,Ecuatorianos,2022,2,4,Mujer,ECUADOR,Vía Aérea,Estudios,América,América,América,MEXICO MEXICO,ECUADOR,1,20
Salida,Ecuatorianos,2022,10,7,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,12,53
Salida,Ecuatorianos,2022,8,5,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,1,8
Entrada,Ecuatorianos,2022,9,13,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,12,32
Salida,Ecuatorianos,2022,11,1,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,42
Salida,Ecuatorianos,2022,3,23,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,51
Salida,Ecuatorianos,2022,10,1,Hombre,ECUADOR,Vía Marítima,Tripulación,América,América,América,PANAMA PANAMA,ECUADOR,5,50
Salida,Ecuatorianos,2022,4,11,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,1,29
Entrada,Ecuatorianos,2022,9,25,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,30
Salida,Ecuatorianos,2022,8,7,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,63
Entrada,Ecuatorianos,2022,7,22,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,12,67
Entrada,Ecuatorianos,2022,8,19,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,16
Salida,Ecuatorianos,2022,11,5,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,80
Salida,Ecuatorianos,2022,5,19,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,76
Salida,Ecuatorianos,2022,12,28,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,73
Salida,Ecuatorianos,2022,8,19,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,36
Entrada,Ecuatorianos,2022,3,5,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,CHILE,ECUADOR,12,49
Salida,Ecuatorianos,2022,12,27,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,1,32
Salida,Ecuatorianos,2022,5,4,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,52
Entrada,Ecuatorianos,2022,8,26,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,12,41
Salida,Ecuatorianos,2022,12,26,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,9
Entrada,Ecuatorianos,2022,6,14,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ARGENTINA,ECUADOR,1,30
Entrada,Ecuatorianos,2022,8,31,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,44
Salida,Ecuatorianos,2022,2,5,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,17
Entrada,Ecuatorianos,2022,9,15,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,CHILE,ECUADOR,12,6
Entrada,Ecuatorianos,2022,1,22,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,47
Entrada,Ecuatorianos,2022,8,22,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,12,5
Salida,Ecuatorianos,2022,12,27,Mujer,ECUADOR,Vía Aérea,Otros,América,América,Europa,ESPAÑA,ECUADOR,1,49
Salida,Ecuatorianos,2022,10,3,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,36
Salida,Ecuatorianos,2022,9,11,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ARGENTINA,ECUADOR,12,50
Salida,Ecuatorianos,2022,12,16,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,6
Entrada,Ecuatorianos,2022,11,16,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,12,31
Salida,Ecuatorianos,2022,8,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,26
Salida,Ecuatorianos,2022,4,27,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,30
Salida,Ecuatorianos,2022,5,19,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,57
Salida,Ecuatorianos,2022,2,6,Hombre,ECUADOR,Vía Aérea,Negocios,América,América,América,PANAMA PANAMA,ECUADOR,1,44
Salida,Ecuatorianos,2022,7,4,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,6
Entrada,Ecuatorianos,2022,11,17,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,35
Entrada,Ecuatorianos,2022,10,6,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,67
Entrada,Ecuatorianos,2022,2,17,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,43
Salida,Ecuatorianos,2022,11,26,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,33
Entrada,Ecuatorianos,2022,9,25,Mujer,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,22
Entrada,Ecuatorianos,2022,10,3,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,12,32
Entrada,Ecuatorianos,2022,12,5,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,14
Entrada,Ecuatorianos,2022,4,1,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,1,37
Salida,Ecuatorianos,2022,9,19,Hombre,ECUADOR,Vía Aérea,Otros,América,América,América,PANAMA PANAMA,ECUADOR,1,33
Salida,Ecuatorianos,2022,12,28,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,19,5
Salida,Ecuatorianos,2022,8,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,29
Salida,Ecuatorianos,2022,5,29,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,47
Salida,Ecuatorianos,2022,10,15,Hombre,ECUADOR,Vía Aérea,Otros,América,América,Europa,ESPAÑA,ECUADOR,12,43
Entrada,Ecuatorianos,2022,5,31,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,63
Salida,Ecuatorianos,2022,9,12,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,35
Entrada,Ecuatorianos,2022,11,4,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,70
Entrada,Ecuatorianos,2022,10,18,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,41
Salida,Ecuatorianos,2022,11,16,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,Asia,QATAR QATAR,ECUADOR,1,37
Entrada,Ecuatorianos,2022,4,8,Hombre,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ITALIA ITALY,ITALIA ITALY,12,59
Salida,Ecuatorianos,2022,12,22,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,21
Entrada,Ecuatorianos,2022,10,23,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,29
Salida,Ecuatorianos,2022,2,8,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,12,28
Salida,Ecuatorianos,2022,4,23,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,9
Salida,Ecuatorianos,2022,2,19,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,54
Salida,Ecuatorianos,2022,9,5,Hombre,ECUADOR,Vía Aérea,Eventos,América,América,América,BRASIL BRAZIL,ECUADOR,36,28
Salida,Ecuatorianos,2022,10,6,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,78
Salida,Ecuatorianos,2022,10,8,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,25
Salida,Ecuatorianos,2022,8,4,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,34
Salida,Ecuatorianos,2022,12,29,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,42
Entrada,Ecuatorianos,2022,12,21,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,MEXICO MEXICO,ECUADOR,12,30
Salida,Ecuatorianos,2022,9,11,Hombre,ECUADOR,Vía Aérea,Otros,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,48
Entrada,Ecuatorianos,2022,3,12,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,12,37
Salida,Ecuatorianos,2022,12,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,12,63
Entrada,Ecuatorianos,2022,12,14,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ARGENTINA,ECUADOR,12,42
Entrada,Ecuatorianos,2022,12,30,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,12
Salida,Ecuatorianos,2022,11,30,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,12,15
Salida,Ecuatorianos,2022,9,9,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,45
Salida,Ecuatorianos,2022,5,13,Hombre,ECUADOR,Vía Terrestre,Otros,América,América,América,PERU PERU,ECUADOR,9,61
Entrada,Ecuatorianos,2022,12,11,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,34
Entrada,Ecuatorianos,2022,12,6,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,47
Salida,Ecuatorianos,2022,12,24,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,78
Salida,Ecuatorianos,2022,5,22,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,FRANCIA,ECUADOR,1,11
Salida,Ecuatorianos,2022,6,13,Mujer,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ESPAÑA,ESPAÑA,1,26
Entrada,Ecuatorianos,2022,8,12,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,CHILE,ECUADOR,12,35
Salida,Ecuatorianos,2022,1,27,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,22
Salida,Ecuatorianos,2022,4,28,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,30
Entrada,Ecuatorianos,2022,5,4,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,1,47
Salida,Ecuatorianos,2022,2,24,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,1,41
Entrada,Ecuatorianos,2022,1,25,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,Europa,ESPAÑA,ECUADOR,1,30
Salida,Ecuatorianos,2022,5,15,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,URUGUAY URUGUAY,ECUADOR,1,27
Salida,Ecuatorianos,2022,10,27,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,18,52
Salida,Ecuatorianos,2022,10,2,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,EL SALVADOR,ECUADOR,1,35
Entrada,Ecuatorianos,2022,5,22,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,1,53
Salida,Ecuatorianos,2022,3,3,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,34
Salida,Ecuatorianos,2022,4,8,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,18
Entrada,Ecuatorianos,2022,3,20,Mujer,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,50
Entrada,Ecuatorianos,2022,11,12,Hombre,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ESPAÑA,ESPAÑA,12,50
Salida,Ecuatorianos,2022,10,19,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,BRASIL BRAZIL,ECUADOR,12,61
Entrada,Ecuatorianos,2022,7,22,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,15
Entrada,Ecuatorianos,2022,12,23,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,35
Entrada,Ecuatorianos,2022,5,19,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,65
Salida,Ecuatorianos,2022,9,27,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,39
Salida,Ecuatorianos,2022,7,4,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,24
Entrada,Ecuatorianos,2022,11,5,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,CHILE,ECUADOR,12,38
Salida,Ecuatorianos,2022,6,7,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,43
Entrada,Ecuatorianos,2022,12,22,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,CUBA,CUBA,12,32
Salida,Ecuatorianos,2022,2,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,47
Entrada,Ecuatorianos,2022,11,16,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,COLOMBIA,ECUADOR,11,40
Salida,Ecuatorianos,2022,11,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Asia,TURQUIA TURKEY,ECUADOR,12,61
Entrada,Ecuatorianos,2022,9,27,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,25
Entrada,Ecuatorianos,2022,12,31,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,56
Salida,Ecuatorianos,2022,8,22,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,CHILE,ECUADOR,12,62
Salida,Ecuatorianos,2022,9,7,Mujer,ECUADOR,Vía Aérea,Turismo,Europa,América,Europa,ESPAÑA,ESPAÑA,12,14
Salida,Ecuatorianos,2022,12,16,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,50
Entrada,Ecuatorianos,2022,6,10,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,12,35
Salida,Ecuatorianos,2022,6,3,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,32
Salida,Ecuatorianos,2022,12,2,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,42
Salida,Ecuatorianos,2022,12,10,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,68
Entrada,Ecuatorianos,2022,1,28,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,66
Salida,Ecuatorianos,2022,4,17,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,21
Salida,Ecuatorianos,2022,5,30,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Oceanía,AUSTRALIA AUSTRALIA,ECUADOR,12,55
Salida,Ecuatorianos,2022,6,8,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,11
Entrada,Ecuatorianos,2022,10,31,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,1,34
Salida,Ecuatorianos,2022,10,22,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,33
Salida,Ecuatorianos,2022,2,4,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,40
Salida,Ecuatorianos,2022,4,2,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,42
Salida,Ecuatorianos,2022,7,4,Hombre,ECUADOR,Vía Terrestre,Otros,América,América,América,PERU PERU,ECUADOR,9,31
Salida,Ecuatorianos,2022,9,7,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,24
Salida,Ecuatorianos,2022,8,5,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,55
Salida,Ecuatorianos,2022,7,13,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,51
